tag, value
525, off, 2400
526, off, 2392
527, off, 2400
528, on, 2393
529, on, 2384
530, on, 2392
531, off, 2384
532, off, 2384
533, off, 2385
534, on, 2401
535, on, 2400
536, on, 2400
537, off, 2400
538, off, 2393
539, off, 2392
540, on, 2392
541, on, 2392
542, on, 2392
543, off, 2392
544, off, 2392
545, off, 2393
546, on, 2401
547, on, 2384
548, on, 2385
549, off, 2400
550, off, 2393
551, off, 2400
552, on, 2392
553, on, 2392
554, on, 2400
555, off, 2401
556, off, 2400
557, off, 2393
558, on, 2392
559, on, 2392
560, on, 2393
561, off, 2400
562, off, 2393
563, off, 2392
564, on, 2393
565, on, 2392
566, on, 2392
567, off, 2400
568, off, 2392
569, off, 2392
570, on, 2400
571, on, 2384
572, on, 2384
573, off, 2400
574, off, 2400
575, off, 2400
576, on, 2385
577, on, 2385
578, on, 2393
579, off, 2400
580, off, 2400
581, off, 2400
582, on, 2393
583, on, 2400
584, on, 2392
585, off, 2400
586, off, 2400
587, off, 2400
588, on, 2392
589, on, 2401
590, on, 2385
591, off, 2384
592, off, 2393
593, off, 2392
594, on, 2400
595, on, 2400
596, on, 2384
597, off, 2401
598, off, 2400
599, off, 2400
